All Companies,Screener,Symbol,LotSize
Marico,https://scanx.trade/company/marico-ltd,MARICO,1200
Maruti Suzuki,https://scanx.trade/company/maruti-suzuki-ltd,MARUTI,50
Max Healthcare Institute,https://scanx.trade/company/max-healthcare-institute-ltd,MAXHEALTH,525
Mazagon Dock Shipbuilders,https://scanx.trade/company/mazagon-dock-shipbuilders-ltd,MAZDOCK,175
MCX,https://scanx.trade/company/multi-commodity-exchange-ltd,MCX,125
Max Financial Services,https://scanx.trade/company/max-financial-services-ltd,MFSL,400
Samvardhana Motherson International,https://scanx.trade/company/motherson-sumi-systems-ltd,MOTHERSON,6150
Mphasis,https://scanx.trade/company/mphasis-ltd,MPHASIS,275
Muthoot Finance,https://scanx.trade/company/muthoot-finance-ltd,MUTHOOTFIN,275
NALCO,https://scanx.trade/company/national-aluminium-company-ltd,NATIONALUM,3750
Info Edge,https://scanx.trade/company/naukri-info-edge-ltd,NAUKRI,375
NBCC,https://scanx.trade/company/nbcc-ltd,NBCC,6500
NCC,https://scanx.trade/company/ncc-nagarjuna-construction-company-ltd,NCC,2700
Nestle,https://scanx.trade/company/nestle-india-ltd,NESTLEIND,500
NHPC,https://scanx.trade/company/nhpc-ltd,NHPC,6400
NMDC,https://scanx.trade/company/nmdc-ltd,NMDC,6750
NTPC,https://scanx.trade/company/ntpc-ltd,NTPC,1500
Nuvama Wealth Management,https://scanx.trade/company/nuvama-wealth-management-ltd,NUVAMA,75
Nykaa,https://scanx.trade/company/nykaa-ltd,NYKAA,3125
Oberoi Realty,https://scanx.trade/company/oberoi-realty-ltd,OBEROIRLTY,350
Oracle Financial Services Software,https://scanx.trade/company/oracle-financial-services-software-ltd,OFSS,75
Oil India,https://scanx.trade/company/oil-india-ltd,OIL,1400
Oil & Natural Gas Corporation,https://scanx.trade/company/oil-natural-gas-corporation-ltd,ONGC,2250
Page Industries,https://scanx.trade/company/page-industries-ltd,PAGEIND,15
Patanjali Foods,https://scanx.trade/company/ruchi-soya-industries-ltd,PATANJALI,900
One 97 Communications,https://scanx.trade/company/paytm-ltd,PAYTM,725
Persistent Systems,https://scanx.trade/company/persistent-systems-ltd,PERSISTENT,100
Petronet LNG,https://scanx.trade/company/petronet-lng-ltd,PETRONET,1800
Power Finance Corporation,https://scanx.trade/company/power-finance-corporation-ltd,PFC,1300
PG Electroplast,https://scanx.trade/company/pg-electroplast-ltd,PGEL,700
Phoenix Mills,https://scanx.trade/company/phoenix-mills-ltd,PHOENIXLTD,350
Pidilite Industries,https://scanx.trade/company/pidilite-industries-ltd,PIDILITIND,500
PI Industries,https://scanx.trade/company/pi-industries-ltd,PIIND,175
Punjab National Bank,https://scanx.trade/company/punjab-national-bank-ltd,PNB,8000
PNB Housing Finance,https://scanx.trade/company/pnb-housing-finance-ltd,PNBHOUSING,650
PB FinTech,https://scanx.trade/company/policy-bazaar-ltd,POLICYBZR,350
Polycab,https://scanx.trade/company/polycab-india-ltd,POLYCAB,125
Power Grid Corporation of India,https://scanx.trade/company/power-grid-corporation-of-india-ltd,POWERGRID,1900
Hitachi Energy,https://scanx.trade/company/abb-power-products-systems-ltd,POWERINDIA,50
Piramal Pharma,https://scanx.trade/company/piramal-pharma-ltd,PPLPHARMA,2500
Prestige Estates Projects,https://scanx.trade/company/prestige-estate-ltd,PRESTIGE,450
RBL Bank,https://scanx.trade/company/rbl-bank-ltd,RBLBANK,3175
REC,https://scanx.trade/company/rural-electrification-corporation-ltd,RECLTD,1275
Reliance Industries,https://scanx.trade/company/reliance-industries-ltd,RELIANCE,500
Rail Vikas Nigam,https://scanx.trade/company/rail-vikas-nigam-ltd,RVNL,1375
Steel Authority of India,https://scanx.trade/company/steel-authority-of-india-ltd,SAIL,4700
Sammaan Capital,https://scanx.trade/company/indiabulls-housing-finance-ltd,SAMMAANCAP,4300
SBI Cards,https://scanx.trade/company/sbi-cards-ltd,SBICARD,800
SBI Life Insurance,https://scanx.trade/company/sbi-life-insurance-ltd,SBILIFE,375
State Bank of India,https://scanx.trade/company/state-bank-of-india-ltd,SBIN,750
Shree Cement,https://scanx.trade/company/shree-cement-ltd,SHREECEM,25
Shriram Finance,https://scanx.trade/company/shriram-transport-finance-company-ltd,SHRIRAMFIN,825
Siemens,https://scanx.trade/company/siemens-ltd,SIEMENS,125
Solar Industries,https://scanx.trade/company/solar-industries-ltd,SOLARINDS,75
Sona BLW Precision Forgings,https://scanx.trade/company/sona-blw-precision-forgings-ltd,SONACOMS,1050
SRF,https://scanx.trade/company/srf-ltd,SRF,200
Sun Pharmaceutical,https://scanx.trade/company/sun-pharmaceutical-ltd,SUNPHARMA,350
Supreme Industries,https://scanx.trade/company/supreme-industries-ltd,SUPREMEIND,175
Suzlon Energy,https://scanx.trade/company/suzlon-ltd,SUZLON,8000
Syngene International,https://scanx.trade/company/syngene-international-ltd,SYNGENE,1000
Tata Consumer Products,https://scanx.trade/company/tata-consumer-products-ltd,TATACONSUM,550
Tata Elxsi,https://scanx.trade/company/tata-elxsi-ltd,TATAELXSI,100
Tata Power,https://scanx.trade/company/tata-power-ltd,TATAPOWER,1450
Tata Steel,https://scanx.trade/company/tata-steel-ltd,TATASTEEL,5500
Tata Technologies,https://scanx.trade/company/tata-technologies-ltd,TATATECH,800
Tata Consultancy Services,https://scanx.trade/company/tcs-tata-consultancy-services-ltd,TCS,175
Tech Mahindra,https://scanx.trade/company/tech-mahindra-ltd,TECHM,600
Tube Investment,https://scanx.trade/company/tube-invest-of-india-ltd,TIINDIA,200
Titagarh Rail Systems,https://scanx.trade/company/titagarh-wagons-ltd,TITAGARH,725
Titan,https://scanx.trade/company/titan-ltd,TITAN,175
Tata Motors Passenger Vehicles,https://scanx.trade/company/tata-motors-passenger-vehicles-ltd,TMPV,800
Torrent Pharmaceuticals,https://scanx.trade/company/torrent-pharmaceuticals-ltd,TORNTPHARM,250
Torrent Power,https://scanx.trade/company/torrent-power-ltd,TORNTPOWER,375
Trent,https://scanx.trade/company/trent-ltd,TRENT,100
TVS Motors,https://scanx.trade/company/tvs-motors-ltd,TVSMOTOR,175
UltraTech Cement,https://scanx.trade/company/ultratech-cement-ltd,ULTRACEMCO,50
Union Bank of India,https://scanx.trade/company/union-bank-of-india-ltd,UNIONBANK,4425
United Spirits,https://scanx.trade/company/united-spirits-ltd,UNITDSPR,400
UNO Minda,https://scanx.trade/company/minda-industries-ltd,UNOMINDA,550
UPL,https://scanx.trade/company/upl-united-phosphorus-ltd,UPL,1355
Varun Beverages,https://scanx.trade/company/varun-beverages-ltd,VBL,1025
Vedanta,https://scanx.trade/company/vedanta-ltd,VEDL,1150
Voltas,https://scanx.trade/company/voltas-ltd,VOLTAS,375
Wipro,https://scanx.trade/company/wipro-ltd,WIPRO,3000
Yes Bank,https://scanx.trade/company/yes-bank-ltd,YESBANK,31100
Zydus Life Science,https://scanx.trade/company/cadila-healthcare-ltd,ZYDUSLIFE,900
